date, pm25, pm10, o3, no2, so2, co
2022/11/1, 66, 8, 30, 14, , 2
2022/11/2, 35, 17, 20, 23, , 3
2022/11/3, 56, 25, 23, 29, , 3
2022/11/4, 65, 36, 28, 25, 1, 4
2022/11/5, 73, 28, 10, 25, 1, 5
2022/11/6, 70, 26, 9, 28, 1, 5
2022/11/7, 69, 25, 17, 25, 1, 4
2022/11/8, 70, 28, 21, 30, 1, 4
2022/11/9, 69, 31, 23, 33, 1, 4
2022/11/10, 71, 23, 18, 24, 1, 3
2022/11/11, 58, 24, 15, 24, 1, 3
2022/11/12, 60, 37, 32, 27, 1, 3
2022/11/13, 90, 34, 30, 29, , 3
2022/11/14, 75, 37, 34, 30, 1, 4
2022/11/15, 75, 38, 27, 29, 1, 4
2022/11/16, 77, 24, 25, 15, , 2
2022/11/17, 55, , , , , 
2022/10/1, 52, 26, 15, 17, 1, 2
2022/10/2, 64, 22, 11, 17, 1, 2
2022/10/3, 57, 28, 14, 31, 1, 4
2022/10/4, 69, 39, 20, 28, 1, 3
2022/10/5, 80, 30, 24, 26, , 3
2022/10/6, 57, 23, 23, 25, 1, 3
2022/10/7, 53, 30, 23, 26, 1, 3
2022/10/8, 70, 39, 22, 34, 1, 4
2022/10/9, 82, 33, 19, 38, 2, 4
2022/10/10, 60, 41, 28, 39, 2, 4
2022/10/11, 72, 44, 25, 50, 2, 4
2022/10/12, 79, 38, 29, 43, 2, 4
2022/10/13, 72, 42, 30, 40, 2, 4
2022/10/14, 76, 43, 27, 52, 2, 4
2022/10/15, 82, 42, 35, 44, 3, 4
2022/10/16, 79, 43, 34, 33, 2, 3
2022/10/17, 74, 42, 39, 33, 1, 4
2022/10/18, 87, 34, 24, 35, 2, 4
2022/10/19, 68, 35, 27, 27, 1, 2
2022/10/20, 57, 37, 22, 29, 1, 3
2022/10/21, 62, 40, 19, 38, 2, 4
2022/10/22, 78, 38, 33, 28, 1, 3
2022/10/23, 80, 47, 29, 28, 1, 2
2022/10/24, 82, 42, 31, 27, 1, 2
2022/10/25, 63, 37, 30, 27, 1, 2
2022/10/26, 61, 33, 29, 26, 1, 2
2022/10/27, 61, 42, 31, 35, 2, 3
