date, pm25, pm10, o3, no2, so2
2022/11/1, 52, 5, 32, 6, 2
2022/11/2, 22, 7, 33, 14, 2
2022/11/3, 28, 17, 42, 12, 2
2022/11/4, 50, 23, 36, 13, 2
2022/11/5, 56, 17, 26, 13, 2
2022/11/6, 53, 14, 21, 19, 3
2022/11/7, 49, 12, 28, 13, 3
2022/11/8, 44, 21, 38, 13, 2
2022/11/9, 56, 20, 35, 15, 1
2022/11/10, 52, 15, 30, 14, 1
2022/11/11, 42, 14, 27, 14, 1
2022/11/12, 44, 26, 51, 14, 2
2022/11/13, 72, 27, 40, 11, 1
2022/11/14, 65, 29, 35, 15, 2
2022/11/15, 66, 26, 36, 11, 2
2022/11/16, 63, 19, 28, 14, 2
2022/11/17, 54, 17, 28, 10, 2
2022/11/18, 54, , , , 
2022/10/1, 31, 12, 23, 6, 1
2022/10/2, 30, 10, 19, 10, 1
2022/10/3, 29, 15, 43, 10, 1
2022/10/4, 44, 22, 37, 14, 1
2022/10/5, 54, 15, 39, 9, 1
2022/10/6, 30, 14, 40, 9, 1
2022/10/7, 37, 18, 43, 9, 1
2022/10/8, 53, 26, 66, 9, 
2022/10/9, 59, 22, 41, 11, 
2022/10/10, 47, 36, 60, 15, 
2022/10/11, 70, 32, 57, 14, 
2022/10/12, 66, 27, 64, 16, 
2022/10/13, 54, 32, 69, 11, 
2022/10/14, 64, 34, 63, 15, 
2022/10/15, 75, 35, 56, 13, 1
2022/10/16, 75, 32, 48, 10, 
2022/10/17, 67, 35, 52, 8, 
2022/10/18, 86, 26, 44, 13, 1
2022/10/19, 61, 28, 43, 10, 1
2022/10/20, 48, 26, 45, 11, 1
2022/10/21, 48, 26, 46, 18, 1
2022/10/22, 56, 26, 61, 12, 2
2022/10/23, 63, 35, 57, 9, 1
2022/10/24, 66, 31, 43, 8, 1
2022/10/25, 50, 25, 40, 10, 1
2022/10/26, 45, 21, 39, 10, 1
2022/10/27, 40, 27, 67, 12, 1
2022/10/28, 54, 28, 55, 14, 2
2022/10/29, 65, 22, 44, 9, 2
2022/10/30, 59, 30, 42, 10, 2
2022/10/31, 62, 21, 42, 10, 2
2022/9/1, 81, 20, 46, 18, 2
2022/9/2, 57, 31, 84, 17, 2
2022/9/3, 74, 24, 61, 15, 2
2022/9/4, 58, 33, 120, 21, 3
2022/9/5, 74, 35, 94, 19, 2
2022/9/6, 81, 21, 50, 10, 1
2022/9/7, 56, 24, 53, 10, 1
2022/9/8, 58, 32, 89, 18, 1
2022/9/9, 65, 44, 76, 11, 1
2022/9/10, 91, 42, 93, 6, 1
2022/9/11, 94, 49, 134, 15, 3
2022/9/12, 113, 49, 146, 23, 3
2022/9/13, 106, 41, 130, 22, 2
2022/9/14, 92, 36, 132, 21, 2
2022/9/15, 87, 50, 158, 13, 2
2022/9/16, 125, 43, 96, 10, 1
2022/9/17, 105, 35, 71, 8, 2
2022/9/18, 89, 29, 61, 26, 1
2022/9/19, 77, 34, 75, 14, 
2022/9/20, 83, 36, 72, 9, 
2022/9/21, 64, 30, 58, 10, 
2022/9/22, 56, 33, 61, 16, 
2022/9/23, 65, 34, 73, 9, 
2022/9/24, 72, 40, 83, 8, 
2022/9/25, 72, 27, 66, 9, 
2022/9/26, 58, 18, 34, 7, 
2022/9/27, 45, 17, 31, 8, 
2022/9/28, 40, 16, 27, 10, 
2022/9/29, 41, 8, 17, 12, 
2022/9/30, 21, 11, 25, 7, 1
2022/8/1, 32, 6, 42, 10, 1
2022/8/2, 23, 12, 41, 21, 1
2022/8/3, 41, 8, 34, 13, 1
2022/8/4, 30, 6, 30, 16, 1
2022/8/5, 21, 7, 12, 11, 1
2022/8/6, 20, 9, 17, 6, 1
2022/8/7, 21, 11, 14, 9, 1
2022/8/8, 29, 7, 19, 6, 1
2022/8/9, 14, 10, 20, 5, 1
2022/8/10, 18, 8, 19, 10, 1
2022/8/11, 18, 7, 12, 17, 1
2022/8/12, 22, 7, 23, 14, 1
2022/8/13, 21, 9, 22, 14, 2
2022/8/14, 28, 8, 22, 10, 1
2022/8/15, 24, 7, 18, 12, 1
2022/8/16, 21, 4, 19, 6, 1
2022/8/17, 13, 5, 19, 11, 1
2022/8/18, 16, 5, 17, 8, 1
2022/8/19, 17, 5, 22, 4, 1
2022/8/20, 11, 8, 21, 3, 1
2022/8/21, 18, 10, 26, 5, 1
2022/8/22, 28, 29, 119, 17, 3
2022/8/23, 61, 23, 41, 15, 1
2022/8/24, 56, 11, 28, 5, 1
2022/8/25, 20, 11, 18, 4, 1
2022/8/26, 23, 12, 36, 8, 1
2022/8/27, 30, 24, 69, 13, 2
2022/8/28, 57, 19, 59, 12, 1
2022/8/29, 54, 16, 33, 17, 2
2022/8/30, 48, 38, 92, 35, 3
2022/8/31, 93, 30, 62, 23, 3
2022/7/1, 16, 9, 26, 1, 1
2022/7/2, 15, 20, 23, 2, 1
2022/7/3, 39, 19, 21, 5, 1
2022/7/4, 40, 16, 19, 6, 1
2022/7/5, 37, 12, 22, 9, 1
2022/7/6, 33, 9, 18, 7, 1
