date, pm25, pm10, o3, no2, so2
2022/11/1, 50, 5, 36, 8, 
2022/11/2, 21, 8, 36, 16, 
2022/11/3, 26, 16, 44, 11, 
2022/11/4, 49, 22, 38, 12, 
2022/11/5, 52, 18, 29, 12, 
2022/11/6, 55, 14, 27, 17, 
2022/11/7, 46, 13, 31, 15, 
2022/11/8, 47, 19, 38, 16, 
2022/11/9, 56, 19, 37, 17, 
2022/11/10, 50, 13, 31, 15, 
2022/11/11, 39, 13, 28, 14, 
2022/11/12, 43, 29, 49, 13, 
2022/11/13, 77, 28, 44, 14, 
2022/11/14, 64, 27, 40, 16, 
2022/11/15, 59, 25, 41, 13, 
2022/11/16, 60, 22, 37, 13, 
2022/11/17, 54, , , , 
2022/10/1, 28, 15, 29, 8, 
2022/10/2, 39, 12, 23, 11, 
2022/10/3, 34, 16, 41, 10, 
2022/10/4, 50, 23, 40, 13, 
2022/10/5, 56, 18, 40, 12, 
2022/10/6, 40, 14, 38, 11, 
2022/10/7, 36, 18, 41, 12, 
2022/10/8, 51, 27, 51, 11, 
2022/10/9, 59, 22, 42, 11, 
2022/10/10, 45, 29, 49, 16, 1
2022/10/11, 55, 29, 53, 15, 1
2022/10/12, 60, 27, 52, 16, 1
2022/10/13, 56, 29, 53, 15, 
2022/10/14, 55, 30, 60, 15, 1
2022/10/15, 64, 30, 58, 11, 1
2022/10/16, 64, 30, 49, 10, 1
2022/10/17, 61, 31, 52, 9, 
2022/10/18, 74, 25, 45, 14, 1
2022/10/19, 56, 26, 43, 12, 
2022/10/20, 42, 24, 37, 15, 
2022/10/21, 43, 25, 47, 19, 1
2022/10/22, 54, 26, 55, 12, 1
2022/10/23, 62, 35, 51, 13, 
2022/10/24, 65, 31, 45, 11, 
2022/10/25, 49, 24, 40, 13, 
2022/10/26, 39, 19, 41, 14, 
2022/10/27, 33, 27, 56, 15, 1
2022/10/28, 51, 27, 48, 14, 1
2022/10/29, 63, 22, 44, 9, 1
2022/10/30, 59, 30, 44, 9, 1
2022/10/31, 63, 20, 43, 8, 
2022/9/1, 67, 19, 44, 13, 
2022/9/2, 56, 29, 76, 13, 
2022/9/3, 71, 21, 58, 11, 1
2022/9/4, 55, 30, 108, 18, 1
2022/9/5, 69, 33, 80, 19, 1
2022/9/6, 79, 21, 46, 13, 
2022/9/7, 52, 26, 48, 14, 
2022/9/8, 58, 31, 74, 18, 1
2022/9/9, 63, 42, 66, 12, 
2022/9/10, 83, 40, 84, 8, 1
2022/9/11, 87, 46, 129, 17, 2
2022/9/12, 106, 43, 119, 23, 2
2022/9/13, 92, 38, 111, 19, 1
2022/9/14, 82, 30, 100, 20, 2
2022/9/15, 73, 46, 117, 19, 2
2022/9/16, 111, 39, 86, 13, 2
2022/9/17, 94, 34, 64, 14, 2
2022/9/18, 86, 27, 58, 22, 
2022/9/19, 73, 31, 71, 15, 
2022/9/20, 76, 36, 67, 12, 
2022/9/21, 58, 28, 56, 14, 
2022/9/22, 51, 29, 56, 16, 
2022/9/23, 57, 32, 59, 12, 
2022/9/24, 66, 38, 66, 11, 1
2022/9/25, 63, 24, 47, 14, 
2022/9/26, 47, 18, 35, 10, 
2022/9/27, 38, 17, 34, 10, 
2022/9/28, 34, 17, 34, 12, 
2022/9/29, 40, 8, 22, 12, 
2022/9/30, 18, 11, 31, 9, 
2022/8/1, 32, 7, 39, 12, 
2022/8/2, 21, 13, 32, 19, 
2022/8/3, 35, 9, 32, 15, 
