date, pm25, pm10, o3, no2, so2
2022/11/1, 41, 6, 28, 6, 
2022/11/2, 12, 10, 26, 22, 
2022/11/3, 28, 20, 36, 19, 
2022/11/4, 44, 22, 31, 16, 
2022/11/5, 41, 19, 19, 15, 
2022/11/6, 51, 13, 12, 18, 
2022/11/7, 28, 31, 19, 18, 
2022/11/8, 40, 17, 29, 23, 1
2022/11/9, 32, 23, 34, 24, 1
2022/11/10, 49, 19, 28, 21, 1
2022/11/11, 51, 13, 23, 21, 1
2022/11/12, 31, 20, 32, 26, 1
2022/11/13, 45, 27, 36, 22, 1
2022/11/14, 49, 29, 38, 25, 1
2022/11/15, 54, 28, 38, 17, 1
2022/11/16, 49, 24, 30, 22, 1
2022/11/17, 41, 17, 27, 18, 1
2022/11/18, 33, , , , 
2022/10/1, 32, 17, 20, 10, 
2022/10/2, 33, 14, 14, 14, 
2022/10/3, 34, 18, 26, 19, 
2022/10/4, 45, 25, 32, 22, 1
2022/10/5, 50, 20, 30, 18, 
2022/10/6, 35, 17, 30, 18, 
2022/10/7, 35, 22, 31, 18, 1
2022/10/8, 47, 28, 56, 13, 1
2022/10/9, 50, 28, 39, 14, 1
2022/10/10, 40, 37, 54, 21, 1
2022/10/11, 48, 32, 47, 23, 1
2022/10/12, 52, 30, 53, 22, 1
2022/10/13, 49, 32, 62, 19, 1
2022/10/14, 49, 30, 65, 19, 1
2022/10/15, 55, 37, 60, 12, 2
2022/10/16, 57, 36, 46, 10, 2
2022/10/17, 52, 37, 49, 12, 
2022/10/18, 65, 26, 34, 20, 1
2022/10/19, 47, 32, 36, 19, 1
2022/10/20, 31, 28, 32, 22, 
2022/10/21, 34, 26, 45, 25, 1
2022/10/22, 40, 27, 52, 19, 1
2022/10/23, 46, 37, 42, 19, 1
2022/10/24, 58, 37, 39, 15, 
2022/10/25, 49, 29, 35, 19, 
2022/10/26, 47, 25, 35, 19, 
2022/10/27, 33, 27, 48, 21, 1
2022/10/28, 37, 26, 46, 20, 1
2022/10/29, 49, 23, 42, 13, 1
2022/10/30, 43, 34, 43, 10, 1
2022/10/31, 50, 25, 42, 9, 1
2022/9/1, 56, 20, 40, 14, 
2022/9/2, 48, 29, 72, 13, 1
2022/9/3, 60, 18, 55, 10, 
2022/9/4, 40, 28, 53, 19, 1
2022/9/5, 55, 33, 72, 26, 2
2022/9/6, 62, 21, 38, 17, 
2022/9/7, 50, 24, 42, 20, 
2022/9/8, 48, 36, 68, 24, 1
2022/9/9, 54, 43, 63, 21, 
2022/9/10, 77, 40, 74, 14, 1
2022/9/11, 77, 49, 108, 43, 4
2022/9/12, 88, 48, 125, 54, 4
2022/9/13, 85, 41, 107, 35, 2
2022/9/14, 69, 36, 116, 29, 2
2022/9/15, 67, 49, 111, 40, 2
2022/9/16, 98, 44, 72, 26, 1
2022/9/17, 91, 38, 62, 21, 2
2022/9/18, 80, 29, 45, 34, 1
2022/9/19, 64, 32, 53, 24, 
2022/9/20, 70, 38, 60, 17, 
2022/9/21, 56, 30, 53, 19, 
2022/9/22, 45, 33, 48, 22, 1
2022/9/23, 50, 33, 48, 19, 
2022/9/24, 57, 40, 56, 16, 
2022/9/25, 61, 27, 46, 19, 1
2022/9/26, 48, 22, 26, 13, 
2022/9/27, 38, 20, 24, 13, 
2022/9/28, 34, 18, 22, 16, 
2022/9/29, 37, 10, 15, 15, 
2022/9/30, 25, 13, 20, 12, 
2022/8/1, 32, 10, 27, 16, 4
2022/8/2, 23, 16, 25, 33, 4
2022/8/3, 42, 12, 18, 19, 3
2022/8/4, 33, 9, 21, 21, 2
2022/8/5, 28, 11, 8, 14, 2
2022/8/6, 21, 10, 11, 9, 2
2022/8/7, 27, 14, 10, 13, 2
2022/8/8, 29, 10, 13, 10, 2
2022/8/9, 19, 15, 16, 12, 2
2022/8/10, 31, 13, 13, 15, 2
2022/8/11, 25, 11, 8, 20, 3
2022/8/12, 26, 12, 14, 21, 3
2022/8/13, 27, 13, 17, 18, 6
2022/8/14, 31, 10, 14, 18, 4
2022/8/15, 26, 17, 11, 15, 3
2022/8/16, 25, 10, 11, 14, 2
2022/8/17, 24, 11, 11, 16, 3
2022/8/18, 25, 9, 10, 14, 2
2022/8/19, 19, 9, 12, 13, 2
2022/8/20, 19, 8, 11, 13, 2
2022/8/21, 29, 13, 19, 13, 2
2022/8/22, 28, 31, 69, 33, 8
2022/8/23, 58, 22, 33, 23, 3
2022/8/24, 53, 15, 24, 11, 2
2022/8/25, 29, 15, 9, 14, 3
2022/8/26, 28, 19, 24, 18, 4
2022/8/27, 31, 22, 51, 24, 5
2022/8/28, 53, 18, 46, 19, 6
2022/8/29, 47, 18, 23, 31, 6
2022/8/30, 47, 30, 65, 44, 3
2022/8/31, 71, 23, 45, 28, 1
2022/7/1, 16, 13, 24, 5, 2
2022/7/2, 19, 21, 19, 8, 2
2022/7/3, 38, 21, 17, 10, 2
2022/7/4, 41, 19, 15, 12, 2
2022/7/5, 35, 15, 14, 17, 3
2022/7/6, 33, 14, 10, 17, 2
2022/7/7, 29, 9, 11, 13, 2
2022/7/8, 18, 12, 8, 10, 2
2022/7/9, 19, 8, 13, 10, 2
2022/7/10, 21, 11, 12, 13, 3
2022/7/11, 30, 13, 11, 13, 2
2022/7/12, 33, 11, 12, 15, 2
2022/7/13, 24, 9, 14, 15, 3
2022/7/14, 20, 10, 15, 13, 3
2022/7/15, 18, 15, 16, 12, 2
2022/7/16, 26, 18, 18, 9, 2
2022/7/17, 32, 17, 15, 11, 2
2022/7/18, 31, 14, 15, 12, 2
2022/7/19, 26, 11, 11, 11, 2
2022/7/20, 28, 12, 13, 13, 2
2022/7/21, 21, 22, 31, 22, 4
2022/7/22, 42, 14, 31, 15, 3
2022/7/23, 34, 16, 42, 15, 4
2022/7/24, 41, 20, 37, 16, 3
2022/7/25, 52, 12, 27, 14, 3
2022/7/26, 35, 11, 24, 14, 3
2022/7/27, 24, 17, 38, 20, 3
2022/7/28, 47, 24, 41, 20, 3
2022/7/29, 48, 29, 26, 36, 3
2022/7/30, 68, 37, 84, 33, 6
2022/7/31, 80, 13, 24, 18, 9
2022/6/1, 36, 13, 14, 12, 2
2022/6/2, 29, 17, 16, 8, 2
2022/6/3, 31, 19, 17, 9, 2
