date, pm25, pm10, o3, no2, so2, co
2022/11/1, 47, 7, 32, 5, 1, 2
2022/11/2, 20, 9, 32, 11, 1, 2
2022/11/3, 24, 16, 44, 7, 1, 2
2022/11/4, 40, 27, 36, 10, 1, 3
2022/11/5, 50, 21, 25, 11, 1, 3
2022/11/6, 46, 18, 27, 17, 1, 4
2022/11/7, 45, 15, 30, 10, 1, 3
2022/11/8, 43, 22, 40, 9, 1, 3
2022/11/9, 47, 21, 31, 11, 1, 2
2022/11/10, 39, 17, 31, 8, 1, 2
2022/11/11, 40, 16, 28, 8, 1, 2
2022/11/12, 38, 25, 43, 12, 1, 3
2022/11/13, 61, 27, 46, 8, 1, 3
2022/11/14, 59, 32, 46, 10, 1, 3
2022/11/15, 61, 28, 41, 9, 1, 3
2022/11/16, 57, 22, 33, 9, 1, 4
2022/11/17, 49, , , , , 
2022/10/1, 28, 17, 22, 4, , 
2022/10/2, 34, 15, 19, 5, 1, 
2022/10/3, 29, 22, 40, 5, 1, 1
2022/10/4, 47, 29, 38, 6, 1, 1
2022/10/5, 62, 24, 38, 7, 1, 1
2022/10/6, 38, 20, 38, 7, 1, 2
2022/10/7, 37, 24, 43, 7, 1, 2
2022/10/8, 51, 32, 51, 9, 1, 2
2022/10/9, 60, 31, 38, 10, 1, 3
2022/10/10, 46, 38, 54, 11, 2, 3
2022/10/11, 73, 35, 54, 11, 2, 2
2022/10/12, 56, 32, 63, 9, 2, 2
2022/10/13, 48, 36, 65, 8, 1, 2
2022/10/14, 55, 33, 62, 12, 1, 2
2022/10/15, 60, 39, 60, 10, 2, 2
2022/10/16, 61, 49, 47, 8, 2, 2
2022/10/17, 62, 37, 49, 8, , 3
2022/10/18, 68, 30, 45, 10, , 2
2022/10/19, 51, 35, 41, 9, , 1
2022/10/20, 39, 31, 46, 8, , 2
2022/10/21, 39, 30, 47, 14, 1, 2
2022/10/22, 49, 28, 59, 9, 1, 2
2022/10/23, 55, 39, 58, 7, , 2
2022/10/24, 60, 40, 42, 8, , 2
2022/10/25, 46, 32, 41, 8, , 2
2022/10/26, 37, 27, 40, 7, 1, 2
2022/10/27, 34, 38, 66, 9, 2, 2
2022/10/28, 62, 30, 54, 12, 2, 3
2022/10/29, 57, 27, 44, 9, 2, 2
2022/10/30, 54, 44, 44, 8, 2, 3
2022/10/31, 59, 31, 42, 7, 1, 2
2022/9/1, 69, 26, 46, 11, 1, 4
2022/9/2, 60, 40, 79, 16, 1, 4
2022/9/3, 77, 26, 56, 12, 1, 2
2022/9/4, 53, 34, 109, 16, 2, 3
2022/9/5, 68, 39, 79, 15, 2, 3
2022/9/6, 79, 26, 43, 7, , 2
2022/9/7, 55, 25, 47, 7, 1, 2
2022/9/8, 51, 38, 78, 9, 1, 2
2022/9/9, 60, 42, 58, 10, 1, 3
2022/9/10, 85, 41, 64, 12, 2, 3
2022/9/11, 90, 51, 140, 18, 2, 4
2022/9/12, 116, 46, 116, 18, 2, 3
2022/9/13, 97, 45, 112, 21, 2, 3
2022/9/14, 118, 35, 84, 16, 2, 3
2022/9/15, 75, 50, 138, 14, 2, 4
2022/9/16, 117, 45, 68, 15, 2, 4
2022/9/17, 101, 38, 49, 12, 2, 3
2022/9/18, 88, 29, 54, 18, 1, 3
2022/9/19, 78, 35, 62, 8, 1, 3
2022/9/20, 82, 41, 60, 8, , 2
2022/9/21, 66, 34, 54, 6, 1, 1
2022/9/22, 50, 31, 61, 8, 1, 2
2022/9/23, 55, 36, 66, 7, 1, 2
2022/9/24, 67, 42, 71, 6, 1, 2
2022/9/25, 62, 30, 53, 7, 1, 2
2022/9/26, 47, 22, 32, 6, 1, 1
2022/9/27, 38, 22, 30, 5, 1, 1
2022/9/28, 31, 20, 28, 7, 1, 1
2022/9/29, 35, 12, 16, 6, , 
2022/9/30, 22, 14, 24, 4, 1, 
2022/8/1, 41, 9, 33, 9, , 
2022/8/2, 26, 16, 33, 15, 1, 1
2022/8/3, 35, 13, 27, 13, 1, 1
2022/8/4, 31, 9, 24, 11, , 1
2022/8/5, 19, 11, 12, 5, , 
2022/8/6, 18, 12, 15, 3, , 
2022/8/7, 18, 13, 14, 6, , 
2022/8/8, 24, 10, 18, 3, , 
2022/8/9, 20, 17, 18, 4, , 
2022/8/10, 25, 12, 16, 6, , 
2022/8/11, 20, 12, 11, 10, , 
2022/8/12, 20, 12, 26, 7, 1, 
2022/8/13, 20, 15, 15, 10, 1, 1
2022/8/14, 27, 11, 17, 9, 1, 
2022/8/15, 21, 13, 16, 7, 1, 
2022/8/16, 23, 7, 17, 4, , 
2022/8/17, 12, 10, 18, 6, 1, 
2022/8/18, 16, 10, 15, 5, , 
2022/8/19, 18, 11, 19, 5, , 
2022/8/20, 19, 14, 17, 6, 1, 
2022/8/21, 24, 15, 19, 9, 1, 
2022/8/22, 26, 29, 81, 16, 2, 1
2022/8/23, 50, 24, 37, 9, 1, 1
2022/8/24, 49, 19, 25, 3, , 
2022/8/25, 25, 17, 16, 7, 1, 1
2022/8/26, 25, 19, 24, 14, 1, 1
2022/8/27, 30, 25, 64, 14, 1, 2
2022/8/28, 51, 20, 37, 7, , 2
2022/8/29, 44, 18, 25, 10, 2, 1
2022/8/30, 44, 35, 85, 22, 2, 3
2022/8/31, 79, 29, 34, 17, 1, 3
2022/7/1, 17, 18, 24, 2, , 1
2022/7/2, 25, 26, 20, 3, , 1
2022/7/3, 39, 25, 20, 5, , 1
2022/7/4, 40, 23, 17, 9, 1, 1
