date, pm25, pm10, o3, no2, so2
2022/11/1, 54, 6, 27, 7, 
2022/11/2, 25, 4, 35, 9, 
2022/11/3, 19, 19, 42, 9, 
2022/11/4, 54, 18, 26, 13, 
2022/11/5, 46, 19, 13, 13, 
2022/11/6, 57, 11, 9, 15, 
2022/11/7, 39, 14, 14, 15, 
2022/11/8, 47, 18, 39, 13, 
2022/11/9, 54, 22, 39, 14, 
2022/11/10, 57, 15, 31, 10, 
2022/11/11, 48, 16, 36, 9, 
2022/11/12, 52, 25, 57, 11, 
2022/11/13, 70, 25, 49, 8, 
2022/11/14, 66, 27, 44, 11, 1
2022/11/15, 64, 25, 39, 8, 
2022/11/16, 64, 20, 40, 9, 1
2022/11/17, 55, , , , 
2022/10/1, 27, 13, 24, 5, 
2022/10/2, 37, 10, 20, 7, 
2022/10/3, 32, 16, 39, 10, 
2022/10/4, 47, 22, 39, 8, 
2022/10/5, 59, 17, 37, 7, 
2022/10/6, 39, 16, 45, 7, 
2022/10/7, 42, 21, 43, 9, 
2022/10/8, 56, 28, 58, 8, 
2022/10/9, 63, 27, 42, 12, 
2022/10/10, 46, 34, 59, 21, 1
2022/10/11, 63, 29, 54, 25, 
2022/10/12, 63, 26, 61, 19, 
2022/10/13, 59, 31, 75, 15, 
2022/10/14, 62, 32, 75, 19, 
2022/10/15, 68, 37, 63, 12, 1
2022/10/16, 72, 35, 50, 10, 1
2022/10/17, 62, 34, 50, 10, 
2022/10/18, 79, 24, 49, 17, 
2022/10/19, 58, 26, 40, 10, 
2022/10/20, 46, 26, 64, 10, 
2022/10/21, 50, 26, 53, 17, 
2022/10/22, 60, 26, 60, 13, 
2022/10/23, 64, 35, 61, 9, 
2022/10/24, 68, 31, 46, 8, 
2022/10/25, 51, 25, 45, 9, 
2022/10/26, 46, 20, 40, 10, 
2022/10/27, 41, 29, 68, 14, 
2022/10/28, 59, 28, 53, 12, 
2022/10/29, 67, 23, 45, 9, 
2022/10/30, 60, 36, 43, 8, 1
2022/10/31, 65, 23, 42, 9, 
2022/9/1, 64, 22, 42, 12, 
2022/9/2, 56, 35, 79, 11, 
2022/9/3, 74, 23, 59, 11, 
2022/9/4, 59, 30, 84, 18, 1
2022/9/5, 69, 33, 87, 15, 1
