date, pm25, pm10, o3, no2, so2, co
2022/11/1, 52, 8, 30, 2, 4, 1
2022/11/2, 21, 8, 41, 2, 4, 2
2022/11/3, 14, 20, 47, 2, 4, 2
2022/11/4, 50, 13, 22, 4, 4, 2
2022/11/5, 30, 13, 17, 5, 4, 2
2022/11/6, 43, 8, 15, 5, 4, 3
2022/11/7, 30, 10, 20, 4, 4, 2
2022/11/8, 35, 17, 53, 4, 4, 2
2022/11/9, 46, 18, 45, 2, 5, 2
2022/11/10, 42, 14, 36, 2, 5, 1
2022/11/11, 33, 12, 37, 1, 5, 1
2022/11/12, 33, 24, 57, 3, 5, 2
2022/11/13, 66, 28, 59, 2, 4, 3
2022/11/14, 63, 23, 52, 2, 2, 3
2022/11/15, 51, 23, 46, 2, 2, 3
2022/11/16, 52, 22, 44, 3, 2, 4
2022/11/17, 52, , , , , 
2022/10/1, 27, 17, 27, , 3, 5
2022/10/2, 37, 14, 30, , 3, 5
2022/10/3, 37, 16, 42, 1, 4, 5
2022/10/4, 45, 21, 38, , 4, 4
2022/10/5, 52, 18, 46, , 4, 3
2022/10/6, 35, 18, 46, 1, 4, 3
2022/10/7, 37, 20, 46, 2, 4, 3
2022/10/8, 51, 28, 57, 3, 5, 3
2022/10/9, 62, 24, 43, 3, 5, 3
2022/10/10, 46, 30, 62, 3, 5, 2
2022/10/11, 53, 30, 70, 4, 5, 2
2022/10/12, 58, 29, 76, 4, 5, 2
2022/10/13, 54, 33, 89, 3, 4, 2
2022/10/14, 57, 31, 80, 4, 5, 2
2022/10/15, 63, 34, 62, 3, 5, 3
2022/10/16, 65, 37, 52, 2, 5, 2
2022/10/17, 64, 32, 49, 2, 4, 3
2022/10/18, 74, 30, 55, 3, 5, 2
2022/10/19, 57, 34, 47, 2, 4, 2
2022/10/20, 42, 27, 57, 2, 4, 1
2022/10/21, 43, 25, 69, 4, 4, 2
2022/10/22, 54, 26, 64, 3, 4, 3
2022/10/23, 61, 37, 69, 2, 4, 2
2022/10/24, 65, 33, 49, 1, 4, 1
2022/10/25, 46, 27, 52, 1, 4, 1
2022/10/26, 38, 21, 40, 1, 4, 1
2022/10/27, 32, 30, 65, 2, 5, 1
2022/10/28, 50, 30, 62, 4, 5, 1
2022/10/29, 66, 26, 45, 3, 5, 1
2022/10/30, 61, 35, 49, 3, 5, 2
