date, pm25, pm10, o3, no2, so2, co
2022/11/1, 59, 5, 30, 3, , 1
2022/11/2, 19, 7, 30, 9, , 2
2022/11/3, 27, 19, 40, 9, , 2
2022/11/4, 57, 20, 32, 7, , 2
2022/11/5, 47, 16, 25, 7, , 2
2022/11/6, 53, 11, 20, 9, , 2
2022/11/7, 33, 13, 24, 7, , 2
2022/11/8, 46, 19, 45, 6, , 2
2022/11/9, 56, 19, 36, 9, , 2
2022/11/10, 53, 14, 30, 9, , 1
2022/11/11, 45, 14, 31, 10, , 2
2022/11/12, 47, 25, 53, 9, , 2
2022/11/13, 74, 24, 53, 5, , 2
2022/11/14, 64, 25, 46, 5, , 2
2022/11/15, 59, 23, 42, 6, , 2
2022/11/16, 63, 21, 43, 5, , 2
2022/11/17, 54, , , , , 
2022/10/1, 38, 17, 26, 4, , 1
2022/10/2, 45, 13, 25, 5, 1, 1
2022/10/3, 44, 20, 35, 12, 1, 2
2022/10/4, 60, 26, 34, 9, 1, 2
2022/10/5, 68, 19, 41, 3, 1, 1
2022/10/6, 46, 16, 39, 4, 1, 1
2022/10/7, 40, 21, 42, 4, 1, 2
2022/10/8, 59, 30, 53, 4, 1, 2
2022/10/9, 66, 27, 41, 7, 1, 2
2022/10/10, 53, 34, 55, 13, 1, 2
2022/10/11, 61, 31, 61, 17, 1, 2
2022/10/12, 65, 28, 64, 12, 1, 2
2022/10/13, 61, 33, 67, 8, 1, 2
2022/10/14, 63, 32, 72, 11, 1, 3
2022/10/15, 71, 35, 57, 7, 2, 3
2022/10/16, 70, 48, 46, 5, 2, 3
2022/10/17, 69, 37, 43, 5, , 3
2022/10/18, 81, 26, 41, 7, 1, 3
2022/10/19, 59, 30, 37, 6, , 1
2022/10/20, 49, 26, 41, 7, , 1
2022/10/21, 50, 27, 55, 14, 1, 2
2022/10/22, 61, 27, 49, 8, 1, 2
2022/10/23, 66, 35, 53, 6, , 2
2022/10/24, 71, 34, 42, 6, , 2
2022/10/25, 55, 27, 42, 6, , 1
2022/10/26, 48, 22, 39, 6, , 2
2022/10/27, 44, 29, 68, 6, 1, 2
2022/10/28, 59, 27, 54, 7, 1, 2
2022/10/29, 64, 26, 43, 6, 1, 2
2022/10/30, 64, 38, 45, 6, 1, 2
2022/10/31, 69, 28, 40, 4, 1, 2
2022/9/1, 60, 21, 42, 7, , 5
2022/9/2, 57, 32, 71, 11, , 5
2022/9/3, 75, 25, 53, 12, , 5
2022/9/4, 59, 35, 102, 21, 1, 6
2022/9/5, 72, 35, 78, 15, 1, 6
2022/9/6, 81, 21, 47, 5, , 5
2022/9/7, 54, 24, 48, 4, , 5
2022/9/8, 58, 33, 79, 14, , 4
2022/9/9, 64, 40, 60, 10, , 3
2022/9/10, 88, 43, 71, 17, 1, 4
2022/9/11, 100, 47, 126, 25, 2, 6
2022/9/12, 116, 46, 96, 38, 2, 5
2022/9/13, 102, 42, 111, 23, 1, 4
2022/9/14, 91, 36, 89, 26, 2, 4
2022/9/15, 81, 47, 106, 33, 2, 6
2022/9/16, 112, 48, 80, 24, 2, 6
2022/9/17, 117, 40, 63, 19, 2, 5
2022/9/18, 101, 28, 73, 20, 1, 5
2022/9/19, 78, 31, 66, 11, , 5
2022/9/20, 78, 37, 60, 5, , 3
2022/9/21, 62, 30, 53, 5, , 3
2022/9/22, 52, 28, 63, 8, , 4
2022/9/23, 57, 32, 66, 6, , 4
2022/9/24, 66, 39, 69, 5, , 4
2022/9/25, 65, 26, 56, 5, , 4
2022/9/26, 51, 21, 33, 4, , 4
2022/9/27, 43, 23, 32, 4, , 4
