date, pm25, pm10, o3, no2, so2, co
2022/11/1, 58, 9, 21, 10, 2, 3
2022/11/2, 27, 7, 30, 8, 2, 3
2022/11/3, 21, 14, 39, 7, 2, 4
2022/11/4, 40, 20, 26, 11, 2, 4
2022/11/5, 43, 18, 9, 10, 2, 5
2022/11/6, 49, 12, 5, 13, 2, 5
2022/11/7, 38, 19, 2, 16, 2, 5
2022/11/8, 51, 25, 33, 20, 2, 4
2022/11/9, 61, 23, 29, 14, 2, 3
2022/11/10, 52, 17, 26, 11, 2, 1
2022/11/11, 40, 20, 23, 13, 2, 1
2022/11/12, 50, 29, 78, 13, 2, 2
2022/11/13, 76, 20, 37, 9, 2, 1
2022/11/14, 52, 29, 41, 14, 2, 2
2022/11/15, 66, 24, 36, 6, 2, 2
2022/11/16, 63, 17, 26, 5, 2, 2
2022/11/17, 54, , , , , 
2022/10/1, 25, 12, 19, 3, 2, 3
2022/10/2, 25, 10, 18, 7, 2, 3
2022/10/3, 23, 14, 28, 8, 2, 4
2022/10/4, 36, 20, 36, 8, 2, 4
2022/10/5, 52, 18, 36, 7, 2, 4
2022/10/6, 36, 16, 38, 7, 2, 4
2022/10/7, 35, 20, 38, 8, 2, 4
2022/10/8, 50, 29, 69, 8, 2, 4
2022/10/9, 60, 33, 43, 11, 2, 4
2022/10/10, 51, 36, 51, 14, 2, 3
2022/10/11, 59, 31, 53, 15, 2, 3
2022/10/12, 68, 31, 68, 16, 2, 3
2022/10/13, 64, 33, 79, 12, 2, 3
2022/10/14, 60, 35, 77, 17, 3, 4
2022/10/15, 69, 39, 64, 18, 4, 4
2022/10/16, 70, 40, 46, 11, 3, 3
2022/10/17, 65, 40, 44, 9, 2, 4
2022/10/18, 79, 22, 42, 10, 2, 3
2022/10/19, 53, 29, 36, 8, 2, 2
2022/10/20, 38, 28, 38, 13, 2, 3
2022/10/21, 44, 32, 73, 17, 2, 3
2022/10/22, 65, 24, 55, 13, 2, 3
2022/10/23, 56, 35, 54, 7, 2, 3
2022/10/24, 64, 33, 40, 5, 2, 3
2022/10/25, 48, 27, 39, 9, 2, 2
2022/10/26, 47, 24, 34, 11, 2, 3
2022/10/27, 42, 31, 70, 12, 2, 3
2022/10/28, 56, 32, 57, 12, 2, 4
2022/10/29, 64, 27, 45, 7, 2, 3
2022/10/30, 57, 41, 41, 10, 3, 3
2022/10/31, 69, 35, 36, 10, 2, 3
2022/9/1, 84, 20, 46, 10, 2, 5
2022/9/2, 55, 35, 84, 17, 3, 5
2022/9/3, 73, 29, 75, 12, 3, 5
2022/9/4, 61, 41, 118, 18, 3, 6
2022/9/5, 84, 37, 84, 10, 2, 5
2022/9/6, 87, 21, 42, 4, 2, 5
2022/9/7, 58, 23, 45, 7, 2, 4
2022/9/8, 58, 32, 79, 12, 2, 3
2022/9/9, 69, 38, 64, 10, 2, 5
2022/9/10, 86, 40, 77, 8, 2, 6
2022/9/11, 95, 48, 103, 13, 3, 6
2022/9/12, 114, 49, 119, 19, 3, 6
2022/9/13, 109, 40, 112, 18, 2, 5
2022/9/14, 87, 42, 103, 19, 2, 5
2022/9/15, 94, 54, 140, 15, 3, 6
2022/9/16, 130, 43, 70, 11, 2, 6
2022/9/17, 104, 37, 59, 9, 2, 5
2022/9/18, 93, 25, 69, 13, 2, 5
2022/9/19, 71, 30, 65, 7, 2, 5
2022/9/20, 76, 33, 60, 4, 2, 3
2022/9/21, 58, 30, 45, 7, 2, 3
2022/9/22, 51, 33, 77, 14, 2, 4
2022/9/23, 62, 30, 64, 6, 2, 4
2022/9/24, 61, 39, 72, 8, 2, 4
2022/9/25, 66, 29, 64, 10, 2, 4
2022/9/26, 53, 18, 29, 6, 2, 3
2022/9/27, 32, 17, 28, 4, 2, 3
2022/9/28, 27, 13, 25, 5, 2, 3
2022/9/29, 28, 7, 15, 7, 2, 3
2022/9/30, 17, 10, 21, 4, 2, 3
2022/8/1, 35, 6, 27, 7, 2, 2
2022/8/2, 22, 13, 31, 14, 2, 3
2022/8/3, 42, 8, 29, 8, 1, 2
2022/8/4, 24, 6, 25, 11, 2, 2
2022/8/5, 19, 6, 8, 7, 2, 2
2022/8/6, 14, 8, 15, 4, 2, 1
2022/8/7, 15, 8, 12, 4, 2, 2
2022/8/8, 18, 6, 17, 3, 2, 3
2022/8/9, 9, 9, 18, 1, 2, 3
2022/8/10, 17, 6, 16, 5, 1, 3
2022/8/11, 17, 8, 9, 12, 2, 3
2022/8/12, 27, 10, 16, 8, 2, 3
2022/8/13, 30, 11, 19, 6, 2, 3
2022/8/14, 36, 12, 20, 7, 2, 3
2022/8/15, 40, 10, 14, 6, 2, 3
2022/8/16, 31, 6, 12, 3, 2, 3
2022/8/17, 20, 6, 13, 6, 2, 3
