"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Silverstrand Beach","03/01/2017","1"
"Clear Water Bay Second Beach","03/01/2017","1"
"Deep Water Bay Beach","03/01/2017","1"
"Golden Beach","03/01/2017","12"
"Pui O Beach","04/01/2017","17"
"Tong Fuk Beach","04/01/2017","1"
"Upper Cheung Sha Beach","04/01/2017","4"
"Lower Cheung Sha Beach","04/01/2017","3"
"Hung Shing Yeh Beach","04/01/2017","1"
"Silver Mine Bay Beach","04/01/2017","310"
"Tai Po Lung Mei Beach","05/01/2017","24"
"Trio Beach ","09/01/2017","1"
"Silverstrand Beach","09/01/2017","47"
"Kiu Tsui Beach","09/01/2017","7"
"Kiu Tsui (New)","09/01/2017","1"
"Hap Mun Bay Beach","09/01/2017","1"
"Clear Water Bay Second Beach","09/01/2017","5"
"Clear Water Bay First Beach","09/01/2017","1"
"Golden Beach","10/01/2017","78"
"Butterfly Beach","10/01/2017","34"
"Cafeteria Old Beach","10/01/2017","92"
"Kadoorie Beach","10/01/2017","29"
"Repulse Bay Beach","10/01/2017","2"
"South Bay Beach","10/01/2017","1"
"St. Stephen's Beach","10/01/2017","1"
"Ma Wan Tung Wan Beach","10/01/2017","77"
"Chung Hom Kok Beach","10/01/2017","1"
"Castle Peak Beach","10/01/2017","71"
"Middle Bay Beach","10/01/2017","6"
"Cafeteria New Beach","10/01/2017","62"
"Deep Water Bay Beach","10/01/2017","1"
"Big Wave Bay Beach","11/01/2017","7"
"Shek O Beach","11/01/2017","32"
"Turtle Cove Beach","11/01/2017","3"
"Hairpin Beach","11/01/2017","1"
"Rocky Bay Beach","11/01/2017","4"
"Stanley Main Beach","11/01/2017","23"
"Tai Po Lung Mei Beach","12/01/2017","5"
"Kwun Yam Beach","16/01/2017","52"
"Silverstrand Beach","16/01/2017","32"
"Clear Water Bay Second Beach","16/01/2017","10"
"Cheung Chau Tung Wan Beach ","16/01/2017","24"
"Casam Beach","17/01/2017","53"
"Hoi Mei Wan Beach","17/01/2017","36"
"Ting Kau Beach","17/01/2017","69"
"Approach Beach","17/01/2017","105"
"Anglers' Beach ","17/01/2017","60"
"Gemini Beaches","17/01/2017","57"
"Golden Beach","17/01/2017","18"
"Deep Water Bay Beach","17/01/2017","1"
"Lido Beach","17/01/2017","45"
"Lo So Shing Beach","18/01/2017","1"
"Discovery Bay","18/01/2017","4"
"Tai Po Lung Mei Beach","19/01/2017","244"
"Clear Water Bay Second Beach","23/01/2017","1"
"Silverstrand Beach","23/01/2017","200"
"Deep Water Bay Beach","24/01/2017","4"
"Golden Beach","24/01/2017","17"
"Tai Po Lung Mei Beach","25/01/2017","28"
"Deep Water Bay Beach","01/02/2017","61"
"Repulse Bay Beach","01/02/2017","1"
"Stanley Main Beach","01/02/2017","1"
"Clear Water Bay Second Beach","01/02/2017","8"
"Big Wave Bay Beach","01/02/2017","12"
"Golden Beach","01/02/2017","9"
"Silverstrand Beach","01/02/2017","25"
