,Report_Year,Waste,IndProc_and_ProdUse,AgrFor_and_Other,Total,EG_and_Tg_Prod,Transport,Other,Waste_SD,Waste_Diff,Waste_Portion,IndProc_and_ProdUse_SD,IndProc_and_ProdUse_Diff,IndProc_and_ProdUse_Portion,AgrFor_and_Other_SD,AgrFor_and_Other_Diff,AgrFor_and_Other_Portion,Total_SD,Total_Diff,Total_Portion,EG_and_Tg_Prod_SD,EG_and_Tg_Prod_Diff,EG_and_Tg_Prod_Portion,Transport_SD,Transport_Diff,Transport_Portion,Other_SD,Other_Diff,Other_Portion
0,1990,1550,215,139,35800,22900,6160,4840,-0.9955639267045164,-509.35483870967755,0.04329608938547486,-2.086527146573395,-951.6774193548388,0.006005586592178771,2.589195122903113,78.67741935483872,0.00388268156424581,-0.9671530321611475,-3487.0967741935456,1.0,-0.8641186546851346,-3009.677419354837,0.6396648044692738,-3.548352818164993,-1152.9032258064517,0.17206703910614526,2.0774375435349723,2064.516129032258,0.13519553072625698
1,1991,1600,638,121,39200,25600,6720,4510,-0.8978359921641744,-459.35483870967755,0.04081632653061224,-1.1591110231574597,-528.6774193548388,0.016275510204081634,1.9968331390655003,60.67741935483871,0.003086734693877551,-0.024156458712627345,-87.09677419354557,1.0,-0.08891253038560831,-309.6774193548372,0.6530612244897959,-1.8248104308302344,-592.9032258064517,0.17142857142857143,1.7453721361855539,1734.516129032258,0.11505102040816327
2,1992,1660,651,99,43500,29200,7110,4720,-0.780562470715764,-399.35483870967755,0.03816091954022988,-1.1306088727924308,-515.6774193548388,0.01496551724137931,1.2728351588195295,38.67741935483871,0.0022758620689655173,1.1684568547663834,4212.903225806454,1.0,0.9446956353470933,3290.322580645163,0.671264367816092,-0.6244862682220989,-202.9032258064517,0.16344827586206898,1.956686486317002,1944.516129032258,0.10850574712643678
3,1993,1750,724,86,43800,29700,7210,4320,-0.6046521885431484,-309.35483870967755,0.03995433789954338,-0.9705583361272695,-442.6774193548388,0.016529680365296805,0.8450181704923649,25.67741935483871,0.0019634703196347034,1.251662434776547,4512.903225806454,1.0,1.0882523250321907,3790.322580645163,0.678082191780822,-0.3167108419123206,-102.9032258064517,0.16461187214611872,1.554182962257101,1544.516129032258,0.09863013698630137
4,1994,1770,830,76,36400,21900,7520,4240,-0.5655610147270117,-289.35483870967755,0.04862637362637363,-0.738156186997035,-336.6774193548388,0.0228021978021978,0.5159281794714691,15.677419354838712,0.002087912087912088,-0.8007418721408204,-2887.0967741935456,1.0,-1.1512320340553295,-4009.677419354837,0.6016483516483516,0.6373929796479922,207.0967741935483,0.20659340659340658,1.473682257445121,1464.516129032258,0.11648351648351649
5,1995,1940,935,84,37400,23000,7430,4040,-0.23328603728984887,-119.35483870967755,0.051871657754010696,-0.5079465109718029,-231.67741935483878,0.025,0.7792001722881857,23.67741935483871,0.002245989304812834,-0.5233899387736086,-1887.0967741935456,1.0,-0.8354073167481151,-2909.677419354837,0.6149732620320856,0.3603950959691918,117.0967741935483,0.19866310160427808,1.2724304954151704,1264.516129032258,0.10802139037433155
6,1996,1900,952,84,35900,21800,7410,3810,-0.3114683849221225,-159.35483870967755,0.052924791086350974,-0.4706744681867652,-214.67741935483878,0.026518105849582172,0.7792001722881857,23.67741935483871,0.00233983286908078,-0.9394178388244263,-3387.0967741935456,1.0,-1.1799433719923489,-4109.677419354837,0.6072423398328691,0.2988400107072361,97.0967741935483,0.2064066852367688,1.0409909690807275,1034.516129032258,0.10612813370473538
7,1997,2000,1050,74,34500,20000,7540,3750,-0.1160125158414385,-59.35483870967755,0.057971014492753624,-0.2558121038965485,-116.67741935483878,0.030434782608695653,0.45011018126728986,13.677419354838712,0.002144927536231884,-1.3277105455385227,-4787.096774193546,1.0,-1.6967474548586998,-5909.677419354837,0.5797101449275363,0.698948064909948,227.0967741935483,0.21855072463768116,0.9806154404717423,974.516129032258,0.10869565217391304
8,1998,1550,978,68,36000,22100,7670,3560,-0.9955639267045164,-509.35483870967755,0.043055555555555555,-0.41367016745670776,-188.67741935483878,0.027166666666666665,0.25265618665475237,7.677419354838712,0.001888888888888889,-0.9116826454877052,-3287.0967741935456,1.0,-1.0938093581812904,-3809.677419354837,0.6138888888888889,1.0990561191126598,357.0967741935483,0.21305555555555555,0.7894262665432894,784.516129032258,0.09888888888888889
9,1999,1110,1020,82,33500,20100,7710,3540,-1.855569750659526,-949.3548387096776,0.03313432835820895,-0.32158629704661484,-146.67741935483878,0.03044776119402985,0.7133821740840065,21.67741935483871,0.002447761194029851,-1.6050624789057346,-5787.096774193546,1.0,-1.6680361169216804,-5809.677419354837,0.6,1.222166289636571,397.0967741935483,0.2301492537313433,0.7693010903402944,764.516129032258,0.10567164179104478
10,2000,1120,978,75,33200,21200,7270,2530,-1.8360241637514576,-939.3548387096776,0.033734939759036145,-0.41367016745670776,-188.67741935483878,0.029457831325301206,0.48301918036937946,14.677419354838712,0.002259036144578313,-1.6882680589158983,-6087.096774193546,1.0,-1.352211399614466,-4709.677419354837,0.6385542168674698,-0.13204558612645356,-42.9032258064517,0.21897590361445782,-0.2470203079109553,-245.48387096774195,0.07620481927710844
11,2001,1260,862,82,33200,21600,7090,2340,-1.5623859470385,-799.3548387096776,0.03795180722891566,-0.6679970476369643,-304.6774193548388,0.025963855421686746,0.7133821740840065,21.67741935483871,0.002469879518072289,-1.6882680589158983,-6087.096774193546,1.0,-1.237366047866388,-4309.677419354837,0.6506024096385542,-0.6860413534840546,-222.9032258064517,0.2135542168674699,-0.4382094818394082,-435.48387096774195,0.07048192771084337
12,2002,1490,503,79,35100,23500,7530,2100,-1.1128374481529268,-569.3548387096776,0.04245014245014245,-1.4550948923327582,-663.6774193548388,0.01433048433048433,0.6146551767777378,18.67741935483871,0.0022507122507122506,-1.1612993855181957,-4187.096774193546,1.0,-0.6918506270630176,-2409.677419354837,0.6695156695156695,0.6681705222789701,217.0967741935483,0.21452991452991452,-0.6797115962753487,-675.483870967742,0.05982905982905983
13,2003,1800,540,72,38700,26500,7610,2140,-0.5069242540028065,-259.35483870967755,0.046511627906976744,-1.3739733874476765,-626.6774193548388,0.013953488372093023,0.3842921830631107,11.677419354838712,0.0018604651162790699,-0.16283242539623324,-587.0967741935456,1.0,0.1694895110475671,590.3225806451628,0.6847545219638242,0.9143908633267928,297.0967741935483,0.19664082687338502,-0.6394612438693587,-635.483870967742,0.05529715762273902
14,2004,2000,634,65,38800,26400,7600,2110,-0.1160125158414385,-59.35483870967755,0.05154639175257732,-1.1678809155774685,-532.6774193548388,0.01634020618556701,0.1539291893484836,4.677419354838712,0.0016752577319587628,-0.13509723205951207,-487.09677419354557,1.0,0.14077817311054763,490.3225806451628,0.6804123711340206,0.883613320695815,287.0967741935483,0.1958762886597938,-0.6696490081738512,-665.483870967742,0.05438144329896907
15,2005,2230,857,72,41300,28600,7490,2070,0.3335359830441347,170.64516129032245,0.05399515738498789,-0.6789594131619754,-309.6774193548388,0.020750605326876514,0.3842921830631107,11.677419354838712,0.0017433414043583535,0.5582826013585175,2012.9032258064544,1.0,0.7724276077249764,2690.322580645163,0.6924939467312349,0.5450603517550587,177.0967741935483,0.18135593220338983,-0.7098993605798413,-705.483870967742,0.05012106537530266
16,2006,2160,1380,72,42300,28700,7650,2250,0.1967168746876559,100.64516129032245,0.05106382978723404,0.4677040207541813,213.32258064516122,0.032624113475177303,0.3842921830631107,11.677419354838712,0.001702127659574468,0.8356345347257292,3012.9032258064544,1.0,0.801138945661996,2790.322580645163,0.6784869976359338,1.037501033850704,337.0967741935483,0.18085106382978725,-0.5287727747528859,-525.483870967742,0.05319148936170213
17,2007,2180,1340,50,42800,29600,7470,2200,0.23580804850379267,120.64516129032245,0.05093457943925234,0.38000509655409287,173.32258064516122,0.03130841121495327,-0.33970579718286015,-10.322580645161288,0.0011682242990654205,0.9743105014093352,3512.9032258064544,1.0,1.0595409870951713,3690.322580645163,0.6915887850467289,0.4835052664931031,157.0967741935483,0.17453271028037384,-0.5790857152603736,-575.483870967742,0.0514018691588785
18,2008,2160,1560,29,41500,28000,7450,2320,0.1967168746876559,100.64516129032245,0.052048192771084335,0.8623491796545794,393.3225806451612,0.037590361445783135,-1.0307947783267415,-31.32258064516129,0.0006987951807228916,0.6137529880319598,2212.9032258064544,1.0,0.6001595801028595,2090.322580645163,0.6746987951807228,0.42195018123114747,137.0967741935483,0.17951807228915662,-0.45833465804240325,-455.48387096774195,0.055903614457831326
