Year,Restaurant (Unit : Terajoule),Retail (Unit : Terajoule),Office (Unit : Terajoule),Accommodation (Unit : Terajoule),Human Health (Unit : Terajoule),Education (Unit : Terajoule),Data Centre (Unit : Terajoule),Other Commercial (Unit : Terajoule)
2010,14372,15711,12195,,,,,55616
2011,11901,16339,21344,,,,,50321
2012,12280,16442,20880,4950,3782,3456,,40564
2013,12378,16435,19959,5401,3877,3530,,40641
2014,12373,16742,19669,5589,4129,3739,,41233
2015,12379,16826,18796,5799,4337,3904,,42609
2016,12414,16306,17923,5796,4476,4092,,43833
2017,12550,16473,17224,5748,4679,4307,,43691
2018,12941,16537,16811,6045,4890,4518,4030,40522
2019,11287,15923,16361,5828,5146,4697,4446,44304
2020,8026,15082,16234,4531,5211,4394,5300,43392
