Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,243,1012,406,284,343,270,,171
2011,267,1128,373,311,347,296,,210
2012,304,1291,349,347,359,337,,266
2013,416,1206,402,292,311,296,,289
2014,471,1355,465,258,276,267,,322
2015,599,1431,547,249,260,261,,387
2016,673,1325,590,210,208,219,,397
2017,767,1199,591,178,162,181,144,256
2018,851,1317,651,198,180,201,160,284
2019,862,1312,634,200,185,203,162,288
2020,910,1474,676,211,195,215,171,304
