Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,4120,6594,1001,1647,,1010
2011,4183,4980,742,1575,,421
2012,4636,4871,721,1653,,399
2013,5029,4604,686,1688,,370
2014,5268,4418,631,1727,,329
2015,5613,4137,589,1743,,296
2016,5997,3813,550,1790,,264
2017,6372,3612,509,1826,107,124
2018,6900,3445,478,1917,83,118
2019,5977,3045,423,1667,69,106
2020,3618,2723,379,1152,59,95
