Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Office Equipment (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,,,,,,
2011,,,,,,
2012,1688,367,288,279,,1160
2013,1840,394,281,269,,1093
2014,2118,428,278,264,,1040
2015,2342,467,277,257,,993
2016,2509,503,274,254,,938
2017,2755,537,268,244,222,652
2018,2998,576,264,239,221,592
2019,3274,621,263,235,222,532
2020,3317,629,265,236,224,540
