Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,904,496,819,,,804
2011,908,433,900,,,1153
2012,949,398,832,,,1147
2013,932,342,675,,,1193
2014,976,313,566,,,1231
2015,1052,309,472,,,1302
2016,963,287,335,,,1205
2017,974,343,276,732,36,512
2018,1007,355,284,758,37,522
2019,874,306,249,652,33,467
2020,903,317,257,676,34,466
