Year,Town Gas & Liquefied Petroleum Gas (Unit : Terajoule),Town Gas & Liquefied Petroleum Gas Percentage (%),Oil & Coal Products (Unit : Terajoule),Oil & Coal Products Percentage (%),Electricity (Unit : Terajoule),Electricity Percentage (%)
2010,49084,17,81786,29,150859,54
2011,49568,18,78349,28,151606,54
2012,49616,18,77359,27,155080,55
2013,49723,18,76503,27,153362,55
2014,50844,18,74992,26,158148,56
2015,48954,17,75626,27,158380,56
2016,49374,17,75349,27,158841,56
2017,47907,17,75121,27,157977,56
2018,48541,17,74452,26,159494,56
2019,47338,17,74520,26,161669,57
2020,44195,16,69195,25,159100,58
