Year,Residential (Unit : Terajoule),Residential Percentage (%),Commercial (Unit : Terajoule),Commercial Percentage (%),Industrial (Unit : Terajoule),Industrial Percentage (%),Transport (Unit : Terajoule),Transport Percentage (%)
2010,19038,39,13971,28,937,2,15137,31
2011,18977,38,14129,29,956,2,15506,31
2012,18841,38,14280,29,1111,2,15384,31
2013,18635,37,14512,29,1229,2,15348,31
2014,18681,37,14713,29,1264,2,16185,32
2015,18063,37,14535,30,1308,3,15048,31
2016,18574,38,14601,30,1232,2,14967,30
2017,18335,38,14908,31,1317,3,13347,28
2018,19578,40,15253,31,1448,3,12262,25
2019,18070,38,14440,31,1596,3,13232,28
2020,19726,45,11844,27,1470,3,11155,25
