Year,Air Conditioning (Unit : Terajoule),Air Conditioning Percentage (%),Lighting (Unit : Terajoule),Lighting Percentage (%),Refrigeration (Unit : Terajoule),Refrigeration Percentage (%),Industrial Process/ Equipment (Unit : Terajoule),Industrial Process/ Equipment Percentage (%),Cooking (Unit : Terajoule),Cooking Percentage (%),Hot Water (Unit : Terajoule),Hot Water Percentage (%),Office Equipment (Unit : Terajoule),Office Equipment Percentage (%),Vertical Transport (Unit : Terajoule),Vertical Transport Percentage (%),Others (Unit : Terajoule),Others Percentage (%)
2010,45511,30,19563,13,9213,6,10016,7,11430,8,5015,3,11758,8,,,38354,25
2011,44605,29,18357,12,8117,5,9119,6,9565,6,4701,3,12313,8,,,44829,30
2012,45079,29,18524,12,7723,5,8915,6,10191,7,4610,3,12896,8,,,47143,30
2013,43821,29,17774,12,6886,4,8837,6,12115,8,5167,3,11825,8,,,46939,31
2014,47264,30,17365,11,6549,4,8875,6,13023,8,5946,4,11583,7,,,47542,30
2015,46927,30,16914,11,5812,4,8948,6,13768,9,6267,4,11026,7,,,48719,31
2016,46441,29,16385,10,5176,3,8365,5,14799,9,7104,4,10709,7,,,49861,31
2017,46396,29,16026,10,4454,3,8322,5,15714,10,7354,5,10233,6,10313,7,39166,25
2018,48032,30,16255,10,4292,3,8365,5,16283,10,7561,5,10412,7,10073,6,38220,24
2019,47965,30,16094,10,4363,3,7869,5,15560,10,7309,5,10534,7,9566,6,42410,26
2020,48622,31,15786,10,4492,3,7391,5,13568,9,7093,4,10605,7,9417,6,42126,26
