Year,Goods Vehicle (Unit : Terajoule),Goods Vehicle Percentage (%),Bus (Unit : Terajoule),Bus Percentage (%),Taxi (Unit : Terajoule),Taxi Percentage (%),Car (Unit : Terajoule),Car Percentage (%),Motorcycle (Unit : Terajoule),Motorcycle Percentage (%),Industrial Process/ Equipment (Unit : Terajoule),Industrial Process/ Equipment Percentage (%),Marine (Unit : Terajoule),Marine Percentage (%),Others (Unit : Terajoule),Others Percentage (%)
2010,28585,35,17077,21,1,0,18247,22,436,1,6423,8,8672,11,2346,3
2011,27818,36,16997,22,1,0,18795,24,425,1,4194,5,8245,11,1875,2
2012,26681,34,17212,22,1,0,19432,25,421,1,4067,5,8077,10,1467,2
2013,25126,33,17114,22,1,0,20955,27,411,1,3984,5,7739,10,1173,2
2014,24510,33,16795,22,1,0,20630,28,418,1,3828,5,7705,10,1105,1
2015,24782,33,16556,22,1,0,21323,28,436,1,3829,5,7792,10,908,1
2016,24718,33,16239,22,,,22132,29,443,1,3604,5,7474,10,739,1
2017,24845,33,16002,21,,,21919,29,462,1,3788,5,7459,10,646,1
2018,24837,33,15543,21,,,22333,30,452,1,3689,5,7006,9,592,1
2019,24735,33,15259,20,,,22815,31,459,1,3279,4,7342,10,631,1
2020,23261,34,12358,18,,,21922,32,563,1,3409,5,7094,10,588,1
