Year,Cooking (Unit : Terajoule),Cooking Percentage (%),Hot Water (Unit : Terajoule),Hot Water Percentage (%),Bus & Taxi (Unit : Terajoule),Bus & Taxi Percentage (%),Others (Unit : Terajoule),Others Percentage (%)
2010,21244,43,8921,18,15137,31,3782,8
2011,20771,42,9232,19,15505,31,4060,8
2012,20316,41,9395,19,15384,31,4521,9
2013,19751,40,9701,20,15348,31,4923,10
2014,19258,38,10166,20,16185,32,5236,10
2015,18414,38,10276,21,15048,31,5217,11
2016,18142,37,10912,22,14967,30,5353,11
2017,17551,37,11245,23,13347,28,5763,12
2018,18491,38,11613,24,12262,25,6175,13
2019,17069,36,11090,23,13232,28,5947,13
2020,15952,36,11886,27,11155,25,5201,12
