Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,790,1012,561,284,343,270,,171
2011,786,1128,555,311,347,296,,210
2012,864,1291,570,347,359,337,,266
2013,997,1206,631,292,311,296,,289
2014,1041,1355,684,258,276,267,,322
2015,1222,1431,778,249,260,261,,387
2016,1290,1325,805,210,208,219,,397
2017,1373,1199,787,178,162,181,144,256
2018,1734,1317,922,198,180,201,160,284
2019,1519,1312,847,200,185,203,162,288
2020,1569,1474,893,211,195,215,171,304
