Year,Restaurant (Unit : Terajoule),Retail (Unit : Terajoule),Office (Unit : Terajoule),Accommodation (Unit : Terajoule),Human Health (Unit : Terajoule),Education (Unit : Terajoule),Data Centre (Unit : Terajoule),Other Commercial (Unit : Terajoule)
2010,24185,15711,12195,,,,,64300
2011,21168,17332,21344,,,,,56169
2012,21257,17515,20880,6193,5760,3565,,43160
2013,21289,17626,19959,6665,5744,3644,,43281
2014,21147,17978,19670,6865,5932,3866,,44159
2015,21050,17974,18796,7071,6045,4034,,45448
2016,20949,17400,17924,7098,6062,4220,,46807
2017,20975,17596,17225,7061,6292,4430,,46830
2018,21347,17789,16812,7375,6436,4646,4063,43754
2019,19439,16978,16362,7148,6521,4818,4483,47255
2020,14343,15975,16235,5596,6734,4472,5343,45814
