Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,13404,6594,1001,2118,,1069
2011,12942,4980,742,2029,,474
2012,13125,4871,721,2094,,445
2013,13467,4604,686,2124,,408
2014,13586,4418,631,2152,,360
2015,13844,4137,589,2160,,319
2016,14111,3813,550,2195,,280
2017,14393,3612,509,2223,107,132
2018,14915,3445,478,2308,83,118
2019,13748,3045,423,2048,69,106
2020,9626,2723,379,1462,59,95
