Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Office Equipment (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,,,,,,
2011,,,,,,
2012,2779,384,110,1322,,1598
2013,3012,421,121,1403,,1708
2014,3162,428,123,1421,,1731
2015,3274,446,128,1444,,1779
2016,3234,452,129,1476,,1808
2017,3225,447,128,1463,525,1274
2018,3391,469,134,1511,553,1317
2019,3269,453,130,1476,529,1292
2020,2539,356,102,1155,393,1052
