Year,Textile & Wearing Apparel (Unit : Terajoule),Non-manufacturing (Unit : Terajoule),Food & Beverage (Unit : Terajoule),Metal & Machinery (Unit : Terajoule),Other Industrial (Unit : Terajoule)
2010,1217,4135,2718,3888,4095
2011,812,4706,2542,3245,2850
2012,701,4717,2846,2865,2527
2013,583,4559,3046,2607,2409
2014,453,4580,3368,2358,2270
2015,355,4755,3514,2196,2234
2016,259,4358,3515,1996,2166
2017,187,4629,3719,1920,2266
2018,164,4734,3819,1914,2199
2019,142,4147,3936,1840,2208
2020,129,4273,3681,1832,2247
