Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,2800,237,844,,,214
2011,1882,170,656,,,142
2012,1604,150,638,,,135
2013,1494,136,638,,,141
2014,1310,127,677,,,155
2015,1227,120,711,,,176
2016,1143,113,720,,,190
2017,1185,110,758,78,11,124
2018,1160,105,727,76,11,119
2019,1216,100,696,72,11,114
2020,1294,96,667,69,10,110
