Year,Bus (Unit : Terajoule),Taxi (Unit : Terajoule),Car (Unit : Terajoule),Motorcycle (Unit : Terajoule),Rail (Unit : Terajoule),Marine (Unit : Terajoule),Others (Unit : Terajoule)
2010,18842,13373,18247,436,2540,3930,193
2011,18911,13593,18795,425,2609,4110,103
2012,19128,13469,19432,421,2722,4251,102
2013,19144,13319,20955,411,2796,4434,102
2014,19285,13696,20641,418,2875,4441,106
2015,19168,12437,21354,436,2972,4523,108
2016,18918,12288,22189,443,2951,4512,124
2017,18663,10686,22005,462,3129,4511,147
2018,18286,9519,22421,452,3209,4265,149
2019,18028,10463,22925,459,3129,4486,145
2020,14811,8701,22067,563,2726,4449,175
