year, month, day, temp, complete
2018,12,26,20.3,C
2018,12,27,19.5,C
2018,12,28,16.8,C
2018,12,29,12.4,C
2018,12,30,***,
2018,12,31,12.1,#
2019,1,1,13.1,C
2019,1,2,13.8,C
2019,1,3,14.8,C
2019,1,4,17.6,C
2019,1,5,20.2,C
2019,1,6,17.4,C
2019,1,7,17.3,C
2019,1,8,17.7,C
2019,1,9,16.6,C
2019,1,10,17.6,C
2019,1,11,18.3,C
2019,1,12,19.8,C
2019,1,13,17.3,C
2019,1,14,17.4,C
2019,1,15,18.0,C
2019,1,16,16.1,C
2019,1,17,15.3,C
2019,1,18,16.0,C
2019,1,19,17.4,C
2019,1,20,19.3,C
2019,1,21,16.3,C
2019,1,22,14.8,C
2019,1,23,15.1,C
2019,1,24,16.2,C
2019,1,25,17.4,C
2019,1,26,17.0,C
2019,1,27,15.8,C
2019,1,28,16.4,C
2019,1,29,17.3,C
2019,1,30,18.2,C
2019,1,31,21.5,C
2019,2,1,17.3,C
2019,2,2,17.3,C
2019,2,3,20.6,C
2019,2,4,20.0,C
2019,2,5,18.6,C
2019,2,6,20.5,C
2019,2,7,22.0,C
2019,2,8,20.6,C
2019,2,9,18.4,C
2019,2,10,17.4,C
2019,2,11,17.1,C
2019,2,12,17.6,C
2019,2,13,19.3,C
2019,2,14,18.9,C
2019,2,15,18.9,C
2019,2,16,21.1,C
2019,2,17,17.6,C
2019,2,18,17.2,C
2019,2,19,18.9,C
2019,2,20,20.5,C
2019,2,21,19.6,C
2019,2,22,19.7,C
2019,2,23,17.0,C
2019,2,24,15.7,C
2019,2,25,16.9,C
2019,2,26,17.9,C
2019,2,27,19.3,C
2019,2,28,21.7,C
2019,3,1,19.5,C
2019,3,2,20.0,C
2019,3,3,20.1,C
2019,3,4,19.9,C
2019,3,5,20.5,C
2019,3,6,19.7,C
2019,3,7,17.3,C
2019,3,8,16.3,C
2019,3,9,17.4,C
2019,3,10,17.1,C
2019,3,11,17.3,C
2019,3,12,19.1,C
2019,3,13,20.0,C
2019,3,14,19.7,C
2019,3,15,17.3,C
2019,3,16,19.8,C
2019,3,17,19.9,C
2019,3,18,20.1,C
2019,3,19,22.2,C
2019,3,20,21.7,C
2019,3,21,23.8,C
2019,3,22,24.3,C
2019,3,23,18.7,C
2019,3,24,17.0,C
2019,3,25,19.8,C
2019,3,26,20.9,C
2019,3,27,21.1,C
2019,3,28,23.2,C
2019,3,29,23.9,C
2019,3,30,22.0,C
2019,3,31,20.8,C
2019,4,1,19.4,C
2019,4,2,19.6,C
2019,4,3,21.3,C
2019,4,4,20.4,C
2019,4,5,23.2,C
2019,4,6,24.0,C
2019,4,7,24.8,C
2019,4,8,25.2,C
2019,4,9,25.2,C
2019,4,10,26.0,C
2019,4,11,25.6,C
2019,4,12,21.4,C
2019,4,13,20.7,C
2019,4,14,21.9,C
2019,4,15,21.2,C
2019,4,16,20.4,C
2019,4,17,22.9,C
2019,4,18,23.1,C
2019,4,19,22.5,C
2019,4,20,22.5,C
2019,4,21,24.3,C
2019,4,22,26.2,C
2019,4,23,27.0,C
2019,4,24,27.0,C
2019,4,25,27.0,#
2019,4,26,27.3,C
2019,4,27,24.0,C
2019,4,28,23.6,C
2019,4,29,25.3,C
2019,4,30,25.9,C
2019,5,1,24.7,C
2019,5,2,21.9,C
2019,5,3,21.1,C
2019,5,4,22.3,C
2019,5,5,21.4,C
2019,5,6,21.3,C
2019,5,7,20.2,C
2019,5,8,20.0,C
2019,5,9,22.0,C
2019,5,10,22.9,C
2019,5,11,24.2,C
2019,5,12,23.8,C
2019,5,13,23.7,C
2019,5,14,26.1,C
2019,5,15,26.7,C
2019,5,16,28.3,#
2019,5,17,27.5,#
2019,5,18,***,
2019,5,19,***,
2019,5,20,27.6,#
2019,5,21,24.0,C
2019,5,22,24.1,C
2019,5,23,24.6,C
2019,5,24,24.6,C
2019,5,25,25.8,C
2019,5,26,25.7,C
2019,5,27,25.9,C
2019,5,28,25.2,C
2019,5,29,24.2,C
2019,5,30,24.1,C
2019,5,31,24.9,C
2019,6,1,26.4,C
2019,6,2,26.7,C
2019,6,3,26.4,C
2019,6,4,27.2,C
2019,6,5,28.4,C
2019,6,6,28.9,#
2019,6,7,29.1,C
2019,6,8,29.4,C
2019,6,9,29.5,#
2019,6,10,27.3,#
2019,6,11,26.4,C
2019,6,12,26.4,C
2019,6,13,26.9,C
2019,6,14,27.8,C
2019,6,15,27.4,C
2019,6,16,26.7,C
2019,6,17,26.9,C
2019,6,18,27.8,C
2019,6,19,28.5,C
2019,6,20,29.5,C
2019,6,21,29.7,C
2019,6,22,29.9,C
2019,6,23,29.7,C
2019,6,24,28.4,C
2019,6,25,26.3,C
2019,6,26,28.1,C
2019,6,27,29.7,C
2019,6,28,29.8,C
2019,6,29,30.5,C
2019,6,30,29.7,C
2019,7,1,28.9,C
2019,7,2,27.8,C
2019,7,3,26.7,C
2019,7,4,29.1,C
2019,7,5,28.9,C
2019,7,6,29.0,C
2019,7,7,29.5,C
2019,7,8,29.7,C
2019,7,9,29.3,C
2019,7,10,27.8,C
2019,7,11,27.9,C
2019,7,12,29.3,C
2019,7,13,29.3,C
2019,7,14,29.3,C
2019,7,15,29.4,C
2019,7,16,29.4,C
2019,7,17,30.0,C
2019,7,18,30.4,C
2019,7,19,28.6,C
2019,7,20,27.5,C
2019,7,21,28.3,C
2019,7,22,27.8,C
2019,7,23,28.0,C
2019,7,24,28.4,C
2019,7,25,29.7,C
2019,7,26,29.7,C
2019,7,27,29.9,C
2019,7,28,28.6,C
2019,7,29,27.1,C
2019,7,30,27.5,C
2019,7,31,26.0,C
2019,8,1,26.5,C
2019,8,2,26.6,C
2019,8,3,26.1,C
2019,8,4,27.0,C
2019,8,5,28.6,C
2019,8,6,29.0,C
2019,8,7,28.9,C
2019,8,8,30.3,C
2019,8,9,31.3,C
2019,8,10,30.0,C
2019,8,11,29.7,C
2019,8,12,29.9,C
2019,8,13,30.3,C
2019,8,14,29.4,C
2019,8,15,29.4,C
2019,8,16,28.3,C
2019,8,17,27.1,C
2019,8,18,27.1,C
2019,8,19,27.9,C
2019,8,20,27.8,C
2019,8,21,28.4,C
2019,8,22,28.8,C
2019,8,23,28.9,C
2019,8,24,31.1,C
2019,8,25,26.8,C
2019,8,26,25.5,C
2019,8,27,28.5,C
2019,8,28,29.4,C
2019,8,29,28.0,C
2019,8,30,27.0,C
2019,8,31,26.7,C
2019,9,1,27.8,C
2019,9,2,27.1,C
2019,9,3,27.9,C
2019,9,4,26.7,C
2019,9,5,26.8,C
2019,9,6,27.9,C
2019,9,7,29.3,C
2019,9,8,29.5,C
2019,9,9,29.1,C
2019,9,10,29.4,C
2019,9,11,29.2,C
2019,9,12,29.2,C
2019,9,13,29.1,C
2019,9,14,29.2,C
2019,9,15,28.4,C
2019,9,16,28.5,C
2019,9,17,28.8,C
2019,9,18,28.4,C
2019,9,19,27.4,C
2019,9,20,27.9,C
2019,9,21,28.4,C
2019,9,22,27.3,C
2019,9,23,26.6,C
2019,9,24,26.6,C
2019,9,25,26.7,C
2019,9,26,26.5,C
2019,9,27,27.0,C
2019,9,28,27.2,C
2019,9,29,28.0,C
2019,9,30,29.2,C
2019,10,1,30.0,C
2019,10,2,28.9,C
2019,10,3,28.3,C
2019,10,4,28.1,C
2019,10,5,28.4,C
2019,10,6,25.8,C
2019,10,7,26.7,C
2019,10,8,27.4,C
2019,10,9,27.2,C
2019,10,10,27.1,C
2019,10,11,27.8,C
2019,10,12,28.4,C
2019,10,13,26.1,C
2019,10,14,25.3,C
2019,10,15,25.8,C
2019,10,16,25.0,C
2019,10,17,25.4,C
2019,10,18,25.3,C
2019,10,19,25.1,C
2019,10,20,24.8,C
2019,10,21,24.6,C
2019,10,22,24.4,C
2019,10,23,24.7,C
2019,10,24,25.3,C
2019,10,25,25.1,C
2019,10,26,25.1,C
2019,10,27,24.5,C
2019,10,28,24.2,C
2019,10,29,21.9,C
2019,10,30,23.1,C
2019,10,31,24.2,C
2019,11,1,24.8,C
2019,11,2,24.4,C
2019,11,3,24.4,C
2019,11,4,24.0,C
2019,11,5,23.0,C
2019,11,6,22.9,C
2019,11,7,23.3,C
2019,11,8,22.6,C
2019,11,9,21.9,C
2019,11,10,21.9,C
2019,11,11,22.4,C
2019,11,12,22.7,C
2019,11,13,23.0,C
2019,11,14,22.1,C
2019,11,15,22.1,C
2019,11,16,21.8,C
2019,11,17,22.7,C
2019,11,18,23.7,C
2019,11,19,19.4,C
2019,11,20,20.2,C
2019,11,21,21.2,C
2019,11,22,22.0,C
