year, month, day, temp, complete
2014,12,23,15.5,C
2014,12,24,19.1,C
2014,12,25,17.0,C
2014,12,26,16.3,C
2014,12,27,16.6,C
2014,12,28,14.6,C
2014,12,29,14.5,C
2014,12,30,15.5,C
2014,12,31,16.6,C
2015,1,1,16.4,C
2015,1,2,15.1,C
2015,1,3,15.7,C
2015,1,4,17.4,C
2015,1,5,19.0,C
2015,1,6,19.0,C
2015,1,7,17.9,C
2015,1,8,15.5,C
2015,1,9,15.4,C
2015,1,10,16.4,C
2015,1,11,16.9,C
2015,1,12,14.3,C
2015,1,13,12.9,C
2015,1,14,14.6,C
2015,1,15,14.8,C
2015,1,16,16.6,C
2015,1,17,16.1,C
2015,1,18,16.7,C
2015,1,19,16.1,C
2015,1,20,15.8,#
2015,1,21,16.8,C
2015,1,22,17.9,C
2015,1,23,16.5,C
2015,1,24,16.8,C
2015,1,25,18.1,C
2015,1,26,18.1,C
2015,1,27,18.0,C
2015,1,28,16.4,C
2015,1,29,16.3,C
2015,1,30,16.6,C
2015,1,31,15.1,C
2015,2,1,15.0,C
2015,2,2,15.9,C
2015,2,3,16.4,C
2015,2,4,16.1,C
2015,2,5,14.1,C
2015,2,6,13.2,C
2015,2,7,15.7,C
2015,2,8,16.5,C
2015,2,9,14.6,C
2015,2,10,14.2,C
2015,2,11,16.5,C
2015,2,12,17.7,C
2015,2,13,17.9,C
2015,2,14,18.5,C
2015,2,15,18.6,C
2015,2,16,19.2,C
2015,2,17,18.6,C
2015,2,18,17.9,C
2015,2,19,17.0,C
2015,2,20,17.2,C
2015,2,21,18.6,C
2015,2,22,19.3,C
2015,2,23,18.4,C
2015,2,24,18.5,C
2015,2,25,19.0,C
2015,2,26,21.1,C
2015,2,27,19.0,C
2015,2,28,18.0,C
2015,3,1,19.1,C
2015,3,2,17.2,C
2015,3,3,18.5,C
2015,3,4,17.0,C
2015,3,5,16.1,C
2015,3,6,16.6,C
2015,3,7,17.2,C
2015,3,8,18.3,C
2015,3,9,20.5,C
2015,3,10,17.4,C
2015,3,11,15.9,C
2015,3,12,15.7,C
2015,3,13,17.3,C
2015,3,14,19.5,C
2015,3,15,20.0,C
2015,3,16,20.5,C
2015,3,17,20.4,C
2015,3,18,21.8,C
2015,3,19,22.5,C
2015,3,20,21.9,C
2015,3,21,21.2,C
2015,3,22,20.6,C
2015,3,23,20.5,C
2015,3,24,19.0,C
2015,3,25,18.0,C
2015,3,26,18.4,C
2015,3,27,20.2,C
2015,3,28,20.6,C
2015,3,29,21.3,C
2015,3,30,21.7,C
2015,3,31,21.9,C
2015,4,1,23.2,C
2015,4,2,24.6,C
2015,4,3,25.1,#
2015,4,4,25.2,C
2015,4,5,24.7,C
2015,4,6,25.6,C
2015,4,7,23.9,C
2015,4,8,18.6,C
2015,4,9,18.0,C
2015,4,10,18.3,C
2015,4,11,17.5,C
2015,4,12,19.7,C
2015,4,13,22.6,C
2015,4,14,21.5,C
2015,4,15,21.5,C
2015,4,16,23.0,C
2015,4,17,22.9,C
2015,4,18,25.0,C
2015,4,19,26.4,C
2015,4,20,26.3,C
2015,4,21,23.4,C
2015,4,22,22.7,C
2015,4,23,22.6,C
2015,4,24,23.1,C
2015,4,25,22.9,C
2015,4,26,23.0,C
2015,4,27,23.4,#
2015,4,28,25.5,C
2015,4,29,26.6,C
2015,4,30,26.9,C
2015,5,1,25.9,C
2015,5,2,27.1,C
2015,5,3,28.1,C
2015,5,4,28.0,C
